Designator,Mid X,Mid Y,Rotation,Layer
D1,132.03175,-128.0,0.0,top
D10,186.03175,-111.0,0.0,top
D11,186.03175,-93.0,0.0,top
D12,186.03175,-75.0,0.0,top
D13,204.03175,-117.0,0.0,top
D14,204.03175,-99.0,0.0,top
D15,204.03175,-81.0,0.0,top
D16,222.03175,-117.0,0.0,top
D17,222.03175,-99.0,0.0,top
D18,222.03175,-81.0,0.0,top
D19,215.31973524070997,-155.7093591395506,340.0,top
D2,132.03175,-110.0,0.0,top
D20,221.47613524070997,-138.7948591395506,340.0,top
D21,232.23423524070995,-161.8656591395506,340.0,top
D22,238.39053524070997,-144.9512591395506,340.0,top
D3,132.03175,-92.0,0.0,top
D4,150.03175,-128.0,0.0,top
D5,150.03175,-110.0,0.0,top
D6,150.03175,-92.0,0.0,top
D7,168.03175,-116.0,0.0,top
D8,168.03175,-98.0,0.0,top
D9,168.03175,-80.0,0.0,top
MCU1,242.0,-70.0,0.0,top
S1,133.61205,-120.13225,0.0,top
S10,187.61205,-103.13225,0.0,top
S11,187.61205,-85.13225,0.0,top
S12,187.61205,-67.13225,0.0,top
S13,205.61205,-109.13225,0.0,top
S14,205.61205,-91.13225,0.0,top
S15,205.61205,-73.13225,0.0,top
S16,223.61205,-109.13225,0.0,top
S17,223.61205,-91.13225,0.0,top
S18,223.61205,-73.13225,0.0,top
S19,219.4956597553601,-148.85655005878934,340.0,top
S2,133.61205,-102.13225,0.0,top
S20,225.65205975536009,-131.94205005878936,340.0,top
S21,236.4101597553601,-155.01295005878933,340.0,top
S22,242.56645975536009,-138.09845005878935,340.0,top
S3,133.61205,-84.13225,0.0,top
S4,151.61205,-120.13225,0.0,top
S5,151.61205,-102.13225,0.0,top
S6,151.61205,-84.13225,0.0,top
S7,169.61205,-108.13225,0.0,top
S8,169.61205,-90.13225,0.0,top
S9,169.61205,-72.13225,0.0,top
